"Supplemental Table 1: DogFiler multi-breed database (see Wictum et al. Developmental validation of DogFiler, a novel multiplex for canine DNA profiling in forensic casework, Forensic Sci. Int. Genet. (2012), http://dx.doi.org/10.1016/j.fsigen.2012.07.001)"																																		
	Breed	VGL0760		VGL0910		VGL1063		VGL1165		VGL1541		VGL1606		VGL1828		VGL2009		VGL2136		VGL2409		VGL2918		VGL3008		VGL3112		VGL3235		VGL3438				
585	Cane Corso	22.2	22.2	13	16.1	12	12	27	28	16	18	16	16	16	17	14	14	9	9	18	18	17.3	17.3	17	17	13	13	14	16	12	15			
586	Cardigan Welsh Corgi 	13	23.2	19.1	20.1	14	20	21	24	14	15	16	17	19	28	13	15	10	11	17	17	12	12	14	16	11	11	16	17	17	17			
587	Cardigan Welsh Corgi 	13	23.2	18.1	21.1	20	21	26	28	14	17	18	19	19	22	13	13	10	12	17	17	18.3	18.3	17	17	16	16	13	14	16	17			
588	Cardigan Welsh Corgi 	13	23.2	17.1	20.1	20	20	21	24	15	18	19	19	21	22	13	13	10	10	15	17	13	14	16	18	11	12	14	14	12	18			
589	Cardigan Welsh Corgi 	14	23.2	18.1	18.1	14	20	24	27	15	15	14	19	19	22	13	13	8	11	15	17	13	13	16	18	11	11	13	14	16	16			
590	Catahoula Leopard Dog 	12	13	19.1	21.1	11	11	21	21	17	18	16	16	15	20	15	15	14	14	13	13	14	14	16	17	13	14	13	16	11	13			
591	Catahoula Leopard Dog 	20.2	21.2	17.1	21.1	13	14	18	27	19	20	17	18	19	21	9	12	13	13	16	17	13	15	15	18	11	14	15	17	14	16			
592	Catahoula Leopard Dog 	20.2	20.2	17.1	22.1	19	20	18	27	19	19	17	18	16	19	9	12	9	13	15	17	13	15	15	19	11	17	17	18	15	16			
593	Catalan Sheepdog 	21.2	24.2	16.1	20.1	18	18	23	27	18	18	13	18	19	20	12	13	8	14	17	18	12	16.3	18	20	13	15	14	15	13	19			
594	Cavalier King Charles Spaniel 	21.2	22.2	21.1	23.1	14	20	22	25	15	18	15	17	17	17	13	14	8	9	18	20	18.3	18.3	15	17	12	12	12	14	13	14			
595	Cavalier King Charles Spaniel 	21.2	21.2	18.1	18.1	20	20	26	26	15	24	15	18	17	17	14	15	9	9	16	18	18.3	18.3	15	17	12	12	14	17	13	13			
596	Cavalier King Charles Spaniel 	21.2	21.2	22.1	23.1	17	17	18	25	18	24	15	18	17	17	13	13	9	9	18	20	18.3	20.3	17	18	12	12	12	14	13	13			
597	Cavalier King Charles Spaniel 	21.2	21.2	17.1	23.1	17	17	22	26	18	18	18	18	19	20	13	15	8	9	16	18	13	18.3	15	17	12	13	14	14	13	17			
598	Cavalier King Charles Spaniel 	12	21.2	17.1	21.1	17	17	18	25	15	18	15	18	19	20	13	14	8	8	17	18	18.3	18.3	15	17	12	12	12	14	14	17			
599	Cavalier King Charles Spaniel 	21.2	22.2	23.1	23.1	8	20	25	26	15	24	15	17	17	17	14	14	9	13	18	18	13	20.3	15	17	12	12	14	14	17	20			
600	Cavalier King Charles Spaniel 	21.2	21.2	18.1	20.1	13	21	28	28	15	24	15	25.3	19	20	13	15	8	9	16	18	18.3	18.3	15	18	12	12	12	18	13	17			
601	Cavalier King Charles Spaniel 	21.2	21.2	20.1	23.1	17	20	18	26	18	24	18	18	19	19	14	14	9	9	16	18	20.3	20.3	17	17	12	12	12	15	13	14			
602	Cavalier King Charles Spaniel 	21.2	22.2	17.1	23.1	17	21	18	26	17	24	17	18	19	20	14	14	8	9	18	18	13	20.3	17	17	12	12	12	14	13	13			
603	Cavalier King Charles Spaniel 	21.2	21.2	20.1	23.1	17	20	26	26	18	24	15	18	20	21	13	13	9	9	18	19	13	13	15	17	12	12	14	14	13	14			
604	Cavalier King Charles Spaniel 	12	23.2	17.1	19.1	8	13	26	29	17	19	18	18	17	17	9	13	8	9	16	16	13	20.3	15	20	12	14	14	16	16	17			
605	Cavalier King Charles Spaniel 	21.2	21.2	21.1	23.1	20	20	22	26	19	24	15	18	17	19	14	14	8	13	18	19	13	18.3	15	15	12	12	14	14	13	13			
606	Cavalier King Charles Spaniel 	12	21.2	20.1	20.1	17	20	22	26	16	23	15	18	17	20	13	14	8	9	18	18	18.3	18.3	17	17	12	12	12	18	13	13			
607	Central Asian Shepherd 	14	18.2	21.1	23.1	13	14	17	26	18	18	14	17	14	16	13	14	9	15	18	20	14	21.3	12	16	11	12	15	17	14	16			
608	Central Asian Shepherd 	18.2	22.2	17.1	20.1	14	18	26	30	17	19	16	18	19	19	10	14	12	15	16	18	12	15	16	16	14	15	12	13	12	15			
609	Central Asian Shepherd 	12	20.2	17.1	20.1	13	14	16	26	17	18	17	18	14	20.3	14	15	15	16	15	17	13	20.3	15	16	11	13	14	15	14	16			
610	Cesky Terrier 	17.2	21.2	19.1	21.1	18	19	26	30	19	20	18	19	19	22	15	16	9	9	13	20	14	14	16	17	12	17	14	15	14	14			
611	Chart Polski 	19	22.2	18.1	22.1	10	17	23	29	15	18	18	18	20	21	11	15	13	15	17	17	14	17.3	15	15	13	13	12	14	14	15			
612	Chart Polski 	22.2	22.2	14	20.1	14	14	19	28	19	20	17	17	16	20	9	14	8	13	15	15	13	13	16	20	10	16	11	13	14	15			
613	Chesapeake Bay Retriever	22.2	24.2	19.1	22.1	9	19	18	30	15	18	18	18	19	19	9	13	10	14	14	17	12	21.3	18	20	14	16	14	14	12	12			
614	Chesapeake Bay Retriever	20.2	23.2	19.1	20.1	14	14	18	18	15	18	16	18	16	20	13	14	9	11	15	15	12	21.3	20	20	11	11	14	14	14	16			
615	Chesapeake Bay Retriever	13	23.2	19.1	20.1	12	19	16	18	18	21	18	18	16	19	9	13	8	14	14	15	12	13	20	21	12	13	13	18	14	14			
616	Chihuahua	14	22.2	18.1	20.1	17	18	19	21	16	19	16	18	16	20	13	13	13	13	15	17	14	14	18	20	13	15	14	16	14	14			
617	Chihuahua	21.2	23.2	17.1	18.1	14	15	21	21	18	21	16	17	17	20	14	15	9	9	16	17	15	15	15	20	13	16	12	13	13	14			
618	Chihuahua	12	23.2	13	14	14	18	26	26	17	20	18	19	20	22	16	16	12	12	16	17	14	15	17	18	12	16	14	18	12	15			
619	Chihuahua	20.2	20.2	20.1	20.1	14	16	22	22	18	20	19	20	17	22	11	14	9	10	13	18	13	15	14	16	11	13	14	18	13	17			
620	Chihuahua	20.2	22.2	21.1	23.1	12	14	19	21	19	22	16	21	20	22	16	16	9	9	14	18	11	14	18	20	11	14	12	13	14	18			
621	Chihuahua	22.2	24.2	19.1	20.1	12	14	27	28	16	17	19	19	19	21	13	14	10	12	16	17	13	17.3	15	19	13	16	14	16	14	19			
622	Chihuahua	13	21.2	19.1	21.1	12	19	18	21	17	17	17	19	15	20	15	15	9	15	16	16	13	14	16	19	13	13	13	14	14	18			
623	Chihuahua	19.2	23.2	19.1	23.1	14	18	25	30	19	22	19	20	16	20	15	15	9	15	14	18	13	19.3	16	23	13	14	16	16	15	16			
624	Chihuahua	20.2	22.2	19.1	20.1	12	14	29	29	15	19	17	20	17	21	9	15	12	15	15	16	13	15	18	21	13	13	12	17	14	14			
625	Chihuahua	22.2	24.2	19.1	19.1	14	18	16	21	17	18	18	20	19	22	14	15	9	9	13	15	17.3	19.3	17	19	11	11	13	16	15	19			
626	Chihuahua	13	20.2	19.1	20.1	13	19	19	23	14	18	19	19	19	20	11	15	13	13	14	17	13	16	16	18	11	11	12	17	13	14			
627	Chihuahua	13	19.2	14	20.1	13	14	19	26	19	25	16	17	19	19	13	14	8	8	16	18	12	15	15	18	12	17	14	16	12	16			
628	Chihuahua	12	18.2	13	19.1	15	20	19	21	18	19	17	19	16	19	15	15	9	16	16	17	13	13	16	18	12	16	18	18	14	19			
629	Chihuahua	22.2	24.2	17.1	22.1	13	18	26	28	15	20	18	19	19	20	10	13	8	10	14	16	12	13	16	17	11	16	13	16	12	14			
630	Chihuahua	13	24.2	19.1	23.1	14	20	21	26	16	20	17	18	16	17	14	15	12	12	16	20	13	20.3	16	16	11	16	13	14	13	18			
631	Chihuahua	13	16	17.1	19.1	14	17	21	26	20	20	17	18	17	18	13	14	8	9	14	18	14	15	17	17	14	16	14	14	13	16			
632	Chihuahua	20.2	22.2	17.1	18.1	12	15	19	21	17	18	14	17	15	18	14	16	10	12	16	16	11	19.3	15	17	11	16	14	18	14	18			
633	Chihuahua	22.2	22.2	18.1	23.1	13	16	21	22	18	21	17	24.3	16	20	13	15	9	14	15	18	15	17.3	17	23	13	16	14	15	17	18			
634	Chihuahua	20.2	23.2	17.1	19.1	16	17	27	27	15	21	17	18	16	21	14	15	10	16	13	14	14	21.3	19	20	13	13	14	14	13	13			
635	Chihuahua	14	18.2	19.1	21.1	12	18	21	27	15	16	21	26.3	17	19	13	13	9	14	13	13	13	17.3	17	17	13	16	12	14	14	18			
636	Chihuahua	22.2	22.2	14	19.1	8	13	20	20	18	21	12	16	16	19	13	13	9	10	17	18	14	15	19	20	11	14	14	15	11	14			
637	Chihuahua	20.2	22.2	20.1	23.1	12	13	22	22	16	24	17	18	22	22	13	16	9	10	17	20	14	18.3	15	22	11	12	16	18	14	15			
638	Chihuahua	14	21.2	22.1	22.1	17	18	27	32	14	16	17	17	19	19	13	14	9	12	14	16	15	15	17	20	13	13	15	15	12	12			
639	Chihuahua	19	22.2	18.1	22.1	12	18	21	28	17	24	16	16	16	16	10	14	8	10	16	17	12	19.3	14	21	11	16	14	19	14	19			
640	Chihuahua	20.2	22.2	20.1	21.1	13	14	21	21	19	23	15	18	18	26	11	16	10	16	15	15	12	13	16	17	12	13	14	18	14	18			
641	Chihuahua	13	21.2	18.1	22.1	15	19	18	19	23	23	17	18	16	20	9	15	9	13	17	19	13	19.3	15	18	15	16	12	14	12	17			
642	Chihuahua	20.2	20.2	17.1	20.1	13	17	19	27	17	19	15	17	15	16	9	14	8	15	15	16	13	13	16	19	11	13	14	17	14	17			
643	Chihuahua	22.2	25.2	13	22.1	14	15	20	31	16	23	17	18	20	23	10	14	9	14	15	20	13	19.3	16	17	16	16	14	15	16	18			
644	Chihuahua	20.2	22.2	21.1	22.1	9	18	21	22	19	22	15	26.3	16	18	14	16	13	14	13	17	13	14	17	18	11	15	14	16	16	16			
645	Chihuahua	23.2	23.2	17.1	21.1	14	15	22	31	16	19	15	18	17	19	14	15	9	12	13	15	14	15	17	20	11	16	16	16	14	16			
646	Chihuahua	15	20.2	21.1	22.1	14	15	19	19	17	21	19	26.3	20	22	12	15	10	10	16	16	13	13	16	22	15	15	14	16	18	19			
647	Chihuahua	20.2	21.2	16.1	19.1	18	21	21	22	18	20	18	18	20	22	14	15	8	9	14	17	15	19.3	17	18	13	16	13	15	12	13			
648	Chihuahua	13	23.2	13	24.1	16	16	21	27	21	23	18	18	16	19	15	15	13	15	14	19	13	13	16	16	16	16	14	14	13	13			
649	Chihuahua	21.2	22.2	13	24.1	12	17	19	27	19	19	17	19	17	19	13	16	8	10	16	16	14	15	20	21	11	12	14	15	14	16			
650	Chihuahua	21.2	23.2	16.1	19.1	14	17	19	21	17	21	17	17	19	19	13	14	11	15	16	17	15	18.3	16	20	11	14	14	16	14	14			
651	Chihuahua	19.2	19.2	14	22.1	14	15	21	31	17	20	18	18	20	20	14	16	8	8	14	17	13	15	16	16	11	16	14	18	12	14			
652	Chinese Crested 	20.2	21.2	17.1	18.1	15	17	28	28	16	16	18	18	19	20	13	14	8	14	20	20	12	12	18	20	16	16	14	14	12	14			
653	Chinese Crested 	20.2	23.2	18.1	18.1	13	14	21	28	16	16	17	26.3	19	19	9	14	12	14	16	16	13	19.3	18	19	11	11	14	19	12	14			
654	Chinese Crested 	20.2	21.2	18.1	20.1	14	14	19	28	19	22	18	19	19	19	14	15	8	8	18	20	12	14	10	18	12	13	14	14	12	19			
655	Chinook 	12	12	13	20.1	11	13	16	22	16	16	16	19	19	19	9	14	9	15	17	17	14	19.3	10	16	13	15	14	15	14	21			
656	Chinook 	12	21.2	13	20.1	13	14	16	22	16	16	19	19	19	19	9	15	12	13	16	16	19.3	19.3	10	18	13	13	14	14	14	17			
657	Chinook 	12	21.2	13	13	18	18	22	28	16	16	19	20	19	20	11	15	12	15	17	17	14	19.3	10	10	13	13	16	16	14	14			
658	Chow Chow	15	24.2	17.1	19.1	13	16	22	25	19	19	16	19	20	21	12	14	8	11	15	15	12	12	12	12	16	17	13	13	12	16			
659	Chow Chow	19.2	20.2	15	17.1	13	14	23	27	15	19	12.3	18	21	22	13	14	13	13	14	15	14	14	12	12	13	16	13	20	16	18			
660	Chow Chow	13	14	19.1	19.1	15	16	31	33	15	15	17	20	21	22	13	14	8	13	18	18	15	15	12	12	12	16	11	13	12	12			
661	Chow Chow	14	15	21.1	21.1	15	15	27	27	16	18	20	20	20	21	10	13	8	11	17	17	14	19.3	12	12	11	13	13	15	12	20			
662	Chow Chow	15	16	19.1	19.1	11	11	26	27	15	16	18	18	19	21	11	12	8	13	17	17	13	13	12	12	11	13	13	15	12	12			
663	Chow Chow	14	25.2	19.1	21.1	14	15	21	27	15	20	18	18	21	21	13	14	8	8	17	18	13	19.3	12	18	13	13	13	15	12	18			
664	Chow Chow	14	15.2	20.1	21.1	15	15	21	32	15	15	18	18	21	21	11	12	13	14	17	17	19.3	20.3	12	12	11	12	14	15	12	12			
665	Chow Chow	14	15	16.1	19.1	15	15	27	31	15	18	20	20	21	22	12	14	8	8	16	17	16	19.3	12	12	11	16	13	14	16	16			
666	Chow Chow	14	19.2	19.1	21.1	13	15	20	21	16	20	17	18	21	21	11	11	11	12	17	17	12	12	12	12	11	16	12	13	12	14			
667	Chow Chow	13	15	21.1	21.1	14	15	27	27	15	16	17	18	21	21	10	13	8	8	17	17	14	20.3	12	12	11	13	13	13	12	20			
668	Chow Chow	14	25.2	16.1	22.1	15	15	21	24	15	16	16	19	20	21	11	14	8	14	16	17	12	12	12	12	11	16	12	13	11	18			
669	Chow Chow	12	24.2	16.1	21.1	14	17	21	31	15	16	17	18	21	21	12	13	11	12	15	17	14	20.3	12	13	11	13	12	12	11	16			
670	Clumber Spaniel 	12	20.2	19.1	20.1	14	14	30	30	18	20	16	16	14	17	15	15	13	14	16	16	12	12	15	16	11	12	15	16	13	13			
671	Clumber Spaniel 	12	20.2	19.1	19.1	14	15	30	32	18	19	16	16	14	19	14	15	13	14	16	18	13	13	16	16	13	13	14	16	13	13			
672	Cocker Spaniel	22.2	23.2	18.1	19.1	13	14	22	23	18	19	17	18	17	19	14	14	9	14	14	14	21.3	22.3	17	19	14	14	14	17	12	13			
673	Cocker Spaniel	12	21.2	13	19.1	11	20	17	22	16	17	16	17	19	19	14	15	13	14	14	16	13	21.3	17	18	13	14	14	17	13	19			
674	Cocker Spaniel	22.2	25.2	19.1	19.1	14	14	31	31	17	23	17	20	17	19	15	15	9	9	14	16	21.3	21.3	17	19	14	14	14	20	13	14			
675	Cocker Spaniel	18.2	18.2	19.1	20.1	21	21	30	31	16	16	16	16	19	19	14	14	14	14	14	14	20.3	20.3	18	18	14	14	14	14	19	23			
676	Cocker Spaniel	12	21.2	19.1	19.1	15	21	16	19	16	16	18	20	14	19	14	15	9	14	14	14	12	22.3	19	26	13	17	17	20	10	21			
677	Cocker Spaniel	18.2	20.2	15.1	19.1	15	15	19	31	16	18	17	17	17	18	15	15	9	14	14	16	12	21.3	17	17	14	16	14	15	13	13			
678	Cocker Spaniel	18.2	20.2	19.1	20.1	13	14	23	29	16	16	17	17	19	22	14	15	9	16	18	18	14	14	17	17	14	16	13	17	12	15			
679	Cocker Spaniel	18.2	18.2	15.1	19	14	15	23	31	16	17	17	19	19	19	15	15	9	11	14	18	12	21.3	16	18	11	14	17	20	13	14			
680	Cocker Spaniel	18.2	24.2	19.1	19.1	14	20	22	31	16	16	17	20	17	19	9	13	9	13	14	14	21.3	21.3	17	19	14	17	14	14	13	21			
681	Cocker Spaniel	12	21.2	19.1	19.1	13	15	32	32	16	17	16	18	15	19	14	15	9	10	14	16	12	21.3	18	19	13	16	17	20	13	14			
682	Cocker Spaniel	19.2	21.2	19.1	19.1	14	20	23	31	16	17	17	17	19	19	13	14	9	13	14	14	21.3	22.3	17	18	13	14	17	17	13	19			
683	Cocker Spaniel	18.2	21.2	18.1	19.1	9	14	22	31	15	17	17	17	17	19	14	14	13	14	14	14	13	21.3	18	20	14	14	16	17	12	13			
684	Cocker Spaniel	18.2	18.2	19.1	20.1	14	14	19	28	16	16	16	20	19	19	9	13	14	14	14	14	14	20.3	17	19	11	14	14	17	13	14			
685	Cocker Spaniel	18.2	24.2	19.1	20.1	12	13	25	27	16	16	17	20	17	19	14	15	14	14	14	14	13	13	16	20	13	14	14	17	13	13			
686	Cocker Spaniel	12	22.2	19.1	19.1	14	21	31	31	18	19	17	17	18	19	14	14	14	14	14	14	12	14	18	19	12	13	14	17	13	13			
687	Cocker Spaniel	12	22.2	19.1	20.1	13	14	19	31	16	16	17	18	17	19	15	15	9	13	16	18	21.3	21.3	17	18	11	13	17	21	14	17			
688	Cocker Spaniel	19.2	19.2	19.1	19.1	14	14	22	22	16	22	17	20	16	19	15	15	9	9	14	14	13	13	17	17	14	14	14	17	13	13			
689	Cocker Spaniel	21.2	22.2	19.1	19.1	14	20	31	31	16	18	17	18	19	19	14	15	9	9	15	16	20.3	21.3	17	17	16	16	18	20	12	14			
690	Cocker Spaniel	18.2	22.2	19.1	21.1	20	22	18	31	16	20	17	18	17	19	9	15	9	14	14	18	21.3	21.3	17	17	13	14	13	13	13	20			
691	Cocker Spaniel	12	20.2	19.1	20.1	11	15	16	19	14	18	18	20	16	20	9	14	13	14	18	18	12	15	18	18	12	13	15	17	11	21			
692	Cocker Spaniel	24.2	25.2	20.1	21.1	8	17	26	33	19	19	19	24.3	15	19	12	14	9	13	17	21	14	19.3	17	21	13	13	14	18	14	18			
693	Cocker Spaniel	18.2	22.2	19.1	19.1	14	14	19	28	17	22	18	19	17	19	9	14	13	14	14	18	12	21.3	17	18	12	14	17	17	10	21			
694	Cocker Spaniel	18.2	21.2	19.1	21.1	14	15	31	31	18	19	17	17	19	19	14	14	9	14	14	14	21.3	21.3	15	18	11	11	17	17	13	21			
695	Cocker Spaniel	18.2	24.2	19.1	21.1	14	14	28	28	16	22	16	17	19	20	14	15	13	14	13	14	14	21.3	18	19	13	16	14	17	13	13			
696	Cocker Spaniel	18.2	21.2	19.1	21.1	13	14	25	27	19	22	17	18	14	19	15	15	8	10	14	18	13	21.3	17	17	11	11	15	20	10	14			
697	Cocker Spaniel	12	20.2	20.1	20.1	8	20	20	30	19	22	16	17	18	19	13	15	9	14	13	14	12	14	17	19	12	14	14	15	13	15			
698	Cocker Spaniel	12	21.2	18.1	19.1	13	20	19	25	16	22	18	18	19	19	13	14	9	9	14	14	14	21.3	17	19	13	16	17	17	13	13			
699	Cocker Spaniel	12	21.2	19.1	19.1	14	15	24	27	16	16	18	18	19	19	9	15	13	14	14	14	12	21.3	17	18	13	16	17	17	15	22			
700	"Cocker Spaniel, American "	18.2	22.2	19.1	19.1	14	21	19	31	16	21	16	18	19	20	13	14	9	14	14	14	21.3	21.3	16	19	14	16	15	17	13	13			
701	"Cocker Spaniel, American "	22.2	22.2	18.1	19.1	14	15	19	23	16	18	16	18	17	19	13	15	9	9	14	18	12	21.3	16	19	12	16	14	17	13	13			
702	"Cocker Spaniel, American "	18.2	18.2	19.1	19.1	15	20	23	31	16	18	17	17	19	19	9	15	13	14	14	14	21.3	21.3	14	18	12	14	14	17	13	13			
703	"Cocker Spaniel, American "	21.2	24.2	18.1	19.1	14	14	28	30	16	16	17	17	19	19	14	15	9	9	14	14	12	21.3	19	19	11	11	14	17	12	21			
704	"Cocker Spaniel, American "	18.2	21.2	19.1	19.1	21	21	19	20	16	19	16	17	17	19	13	14	9	13	14	14	21.3	21.3	19	20	14	14	14	14	13	14			
705	"Cocker Spaniel, American "	21.2	24.2	19.1	19.1	8	14	19	19	16	18	17	18	17	19	13	14	9	14	14	14	12	14	19	19	14	16	14	14	10	12			
706	"Cocker Spaniel, American "	22.2	22.2	19.1	19.1	13	20	31	31	16	16	17	20	16	17	9	15	9	13	14	18	13	21.3	18	19	14	14	14	14	13	13			
707	"Cocker Spaniel, American "	18.2	21.2	18.1	19.1	14	14	19	28	16	23	19	20	17	19	14	15	9	9	14	14	12	13	18	18	11	11	14	14	13	21			
708	"Cocker Spaniel, American "	18.2	18.2	18.1	19.1	8	13	19	28	16	19	17	19	19	19	14	14	9	14	14	14	12	21.3	18	19	11	16	14	14	10	13			
709	"Cocker Spaniel, American "	18.2	19.2	19.1	19.1	14	21	23	32	16	18	16	19	17	19	15	15	9	14	14	18	14	21.3	18	20	11	16	14	14	12	13			
710	Collie	14	20.2	21.1	21.1	17	17	26	26	18	18	15	16	16	16	10	14	13	13	18	18	12	12	15	15	13	15	15	16	17	17			
711	Collie	14	20.2	17.1	21.1	8	20	26	26	17	17	15	15	16	16	10	13	13	14	18	18	12	12	15	15	15	15	15	15	17	17			
712	Collie	20.2	20.2	22.1	23.1	17	17	26	27	18	18	15	15	16	16	9	13	13	13	18	18	12	13	15	20	14	15	14	15	17	17			
713	Collie	14	20.2	21.1	22.1	17	20	26	27	18	18	15	15	16	16	9	13	13	13	18	18	12	13	15	20	12	15	15	15	17	17			
714	Collie	14	14	21.1	22.1	8	21	26	27	17	18	15	15	15	16	10	10	13	13	18	18	12	12	15	15	14	15	15	15	17	17			
715	Collie	14	20.2	17.1	21.1	8	17	26	27	17	18	15	15	16	16	10	13	13	13	18	18	12	13	15	20	15	15	15	15	17	17			
716	Collie	14	20.2	21.1	22.1	17	20	26	27	17	17	15	15	16	16	9	16	13	13	18	19	13	13	15	15	12	15	15	15	17	17			
717	Collie	14	14	21.1	21.1	8	8	26	27	17	18	14	15	16	16	10	13	13	13	18	18	12	13	15	20	15	15	14	16	17	17			
718	Collie	14	14	17.1	17.1	20	20	21	26	17	18	18	18	16	16	16	16	12	13	18	18	12	12	15	17	14	14	14	14	17	17			
719	Collie	14	19.2	17.1	20.1	12	12	26	26	16	16	15	19	16	22	13	16	13	13	18	18	12	12	15	15	14	15	16	16	17	18			
720	Collie	14	20.2	17.1	21.1	14	20	20	24	17	18	17	19	16	16	9	13	13	13	18	18	13	13	22	22	15	16	16	16	17	17			
721	Collie	19.2	23.2	17.1	19.1	13	13	21	27	18	19	18	18	15	17	15	15	10	12	15	16	13	13	15	19	12	13	16	16	14	18			
722	Collie	14	20.2	21.1	22.1	8	17	21	26	17	18	15	15	16	17	10	13	13	13	18	18	12	13	15	16	14	14	16	16	17	18			
723	Collie	14	14	21.1	21.1	8	17	21	26	18	18	14	15	16	16	13	13	10	13	18	18	13	13	15	19	12	12	16	16	17	18			
724	Collie	14	14	19.1	22.1	17	17	20	21	18	19	18	18	16	16	9	13	13	13	18	19	12	13	15	15	12	15	16	16	16	17			
725	Collie	13	14	17.1	21.1	20	20	20	20	18	19	15	15	16	17	10	13	9	13	16	18	13	13	17	18	13	15	16	16	14	17			
726	Collie	14	14	20.1	21.1	8	12	26	26	18	18	16	17	16	16	10	14	9	13	18	18	13	13	15	22	12	13	14	16	17	17			
727	Collie	14	15	21.1	21.1	8	17	26	26	18	18	16	17	17	21	11	16	10	13	16	18	13	13	18	19	11	12	15	16	18	18			
728	Collie	14	14	17.1	20.1	16	21	21	26	17	18	15	15	16	16	10	16	13	13	18	18	13	13	15	15	16	16	16	16	17	18			
729	Collie	14	14	21.1	22.1	14	20	21	21	17	18	15	15	16	16	10	13	13	13	18	18	12	13	15	16	14	15	16	16	15	17			
730	Collie	14	20.2	20.1	22.1	12	14	26	26	18	18	15	15	16	16	10	13	10	13	18	20	13	13	15	15	12	15	14	16	17	17			
731	Collie	14	20.2	20.1	21.1	8	12	26	26	18	18	15	15	16	16	9	10	10	13	18	18	12	13	15	22	12	16	15	16	17	18			
732	Collie	13	14	21.1	21.1	17	20	26	27	17	18	15	15	16	17	10	16	10	13	18	18	12	13	15	17	12	15	14	16	17	17			
733	Collie	14	14	21.1	21.1	14	17	20	26	17	18	15	15	16	16	10	13	10	13	18	18	12	12	15	19	12	15	16	16	17	18			
734	Collie	14	24.2	17.1	21.1	17	20	26	26	17	18	17	17	16	16	10	13	13	14	16	18	14	21.3	19	20	13	15	16	17	15	17			
735	Collie	13	19.2	19.1	22.1	20	20	21	24	18	18	14	14	16	16	10	10	13	13	18	18	13	14	15	15	12	12	16	19	16	18			
736	Collie	14	20.2	17.1	22.1	8	8	21	26	17	18	15	16	16	16	9	13	10	10	18	18	12	13	15	17	15	15	15	16	17	18			
737	Collie	13.2	20.2	18.1	21.1	8	12	20	25	16	17	14.3	19	15	15	9	9	10	13	18	18	12	12	15	18	14	14	16	16	17	17			
738	Collie	14	14	13	17.1	20	20	21	30	18	18	15	15	16	16	10	13	10	13	18	18	13	13	15	15	14	14	16	17	17	18			
739	Collie	14	14	18.1	21.1	8	12	21	26	17	18	15	15	16	16	10	10	13	13	15	18	12	14	18	19	12	15	14	16	18	18			
740	Cook Island Feral Dog 	15	22.2	12	21.1	15	20	19	27	15	21	16	20	16	22	9	15	8	16	15	18	19.3	20.3	18	21	14	14	15	17	19	21			
741	Coton de Tulear	23.2	23.2	14	18.1	8	18	22	33	17	18	16	18	15	15	13	14	9	13	15	17	13	15	16	17	11	13	13	16	20	20			
742	Coton de Tulear	14	21.2	18.1	19.1	8	16	22	26	18	22	18	19	15	18	14	15	13	13	15	16	19.3	19.3	16	17	11	15	16	16	13	14			
743	Coton de Tulear	20	23.2	17.1	21.1	8	13	22	30	18	18	17	18	15	17	11	14	13	15	15	18	14	15	15	18	11	13	14	16	17	19			
744	Coton de Tulear	14	20.2	18.1	18.1	16	17	26	33	17	24	18	19	15	16	12	12	10	15	16	16	14	14	17	18	11	13	14	16	14	19			
745	Coton de Tulear	24.2	25.2	16.1	18.1	8	20	25	25	18	18	16	18	15	15	13	15	8	14	15	15	15	15	16	18	12	13	13	18	14	19			
746	Curly-Coated Retriever 	21.2	21.2	19.1	19.1	15	17	26	29	16	19	17	17	19	19	13	13	8	13	13	18	14	18.3	14	16	15	15	12	14	16	16			
747	Curly-Coated Retriever 	14	14	19.1	20.1	19	19	30	30	16	18	16	18	19	20	13	14	8	8	17	17	12	18.3	14	14	15	15	12	14	15	16			
748	Curly-Coated Retriever 	14	24.2	18.1	18.1	8	15	22	26	17	19	15	19	19	19	14	14	9	13	13	18	12	13	14	17	13	14	13	14	14	16			
749	Dachshund	20.2	20.2	16.1	18.1	18	19	21	26	19	20	17	17	16	16	9	14	14	16	15	18	21.3	21.3	15	16	11	11	14	14	13	15			
750	Dachshund	15.2	21.2	16.1	18.1	13	13	19	20	16	19	16	18	19	21	13	14	8	16	17	17	13	17.3	14	18	11	16	16	18	13	14			
751	Dachshund	19.2	20.2	16.1	16.1	17	18	24	24	16	19	17	18	20	20	14	14	15	15	17	18	13	20.3	19	19	12	12	13	14	14	19			
752	Dachshund	20.2	21.2	18.1	18.1	19	19	15	21	15	17	17	18	16	16	14	15	12	15	18	20	13	21.3	17	18	11	16	13	13	15	15			
753	Dachshund	12	22.2	16.1	19.1	8	18	19	31	16	20	17	18	16	17	9	15	8	11	17	17	12	20.3	15	18	13	16	16	18	14	15			
754	Dachshund	20.2	22.2	18.1	18.1	8	11	20	22	16	17	17	17	16	20	9	14	15	15	15	18	14	22.3	18	18	13	14	13	16	13	15			
755	Dachshund	14	22.2	18.1	19.1	16	18	24	26	17	19	17	18	16	20	9	14	14	16	19	19	12	23.3	18	20	13	16	13	16	13	15			
756	Dachshund	22.2	22.2	19.1	19.1	14	14	19	21	19	21	17	17	16	18	9	14	14	14	18	18	13	15	18	19	11	11	16	16	13	19			
